"X","y"
"Итоги торгов ADR и GDR украинских компаний на биржах Германии 15 февраля. 
15.02.2021
Эмитент	Тип	Акций за	Биржа	V торг.,	Цена	Изм. к	Изм. за
DR	расписку	шт DR	закр.,EUR	пред,%	м-ц,%
Agroton Public	G	1	GR	-	-	0.00	0.00
MHP	G	1	GR	-	4.72	-0.85	-2.54
Азот	G	30	GR	-	-	0.00	0.00
Днепроазот	G	2500	GR	-	-	0.00	0.00
Днепрококс	G	20	GR	-	-	0.00	0.00
Донецкий металлургический завод	G	100	GR	-	-	0.00	0.00
ДТЭК Днепроэнерго	A	0.25	GR	-	-	0.00	0.00
Западэнерго	G	0.25	GR	-	-	0.00	0.00
Запорожский ферросплавный завод	G	100	GR	-	0.06	0.00	-12.50
Запорожсталь	G	10	GR	-	-	0.00	0.00
Концерн Стирол	A	1	GR	-	-	0.00	0.00
Марганецкий ГОК	A	100	GR	-	-	0.00	0.00
Никопольский завод ферросплавов	G	25	GR	-	-	0.00	0.00
Одескабель	G	50	GR	-	-	0.00	0.00
Полтавский ГОК	G	1	GR	-	-	0.00	0.00
Стахановский з-д ферросплавов	G	100	GR	-	-	0.00	0.00
Сухая Балка	G	25	GR	-	-	0.00	0.00
Укрнафта	A	6	GR	-	-	0.00	0.00
Укртелеком	G	50	GR	-	0.06	-11.11	-11.11
Харцызский трубный завод	G	50	GR	-	-	0.00	0.00
Хмельницкоблэнерго	A	40	GR	-	-	0.00	0.00
Центрэнерго	A	10	GR	-	1.37	0.00	0.00
Торги акциями компаний, имеющих бизнес на Украине, но зарегистрированных за рубежом
15.02.2021
Эмитент	Тип	Номинал	Биржа	V торг.,	Цена	Изм. к	Изм. за
ЦБ	шт DR	закр.,EUR	пред,%	м-ц,%
Cadogan Petroleum	S	3	GR	1034	0.06	49.11	59.82
Dragon-Ukrainian	S	1	GR	-	-	0.00	0.00
Ferrexpo	S	0.1	GR	-	3.80	4.21	2.63
JKX Oil & Gas	S	0.1	GR	-	0.34	7.06	-17.06
Kernel Holding	S	-	GR	-	12.08	-1.16	7.12
Regal Petroleum	S	0.05	GR	-	0.27	4.51	-6.77
GR - агрегированные данные по немецким биржам;
GB - Берлинская биржа; GF - Франкфуртская биржа;
GM - Мюнхенская биржа; GS - Штутгартская биржа;
GY - Xetra; GH - Гамбургская биржа;
GD - Дюссельдорфская биржа.
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Торги ADR и GDR российских компаний"
"Итоги торгов ADR и GDR украинских компаний на биржах Великобритании 15 февраля. 
15.02.2021
Эмитент	Тип	Акций за	Биржа	V торг.,	Цена	Изм. к	Изм. за
DR	расписку	шт DR	закр.,USD	пред,%	м-ц,%
AvangardCo Invest	G	0.1	LI	-	0.01	0.00	20.00
MHP	G	1	LI	1365	6.10	2.95	0.00
Торги акциями компаний, имеющих бизнес на Украине, но зарегистрированных за рубежом
15.02.2021
Эмитент	Тип	Номинал	Биржа	V торг.,	Цена	Изм. к	Изм. за	Валюта
ЦБ	шт DR	закр.,USD	пред,%	м-ц,%	торгов
Arricano Real Estate	S	-	LN	-	0.30	0.00	0.00	USD
Cadogan Petroleum	S	3	LN	2164	3.60	0.00	15.28	GBp
Dragon-Ukrainian	S	1	LN	-	-	0.00	0.00	GBp
Ferrexpo	S	0.1	LN	1634061	334.20	4.19	1.08	GBp
JKX Oil & Gas	S	0.1	LN	283014	30.75	5.69	-21.14	GBp
Regal Petroleum	S	0.05	LN	-	-	0.00	0.00	GBp
Secure Property	S	0.01	LN	-	6.00	0.00	-8.33	GBp
Ukrproduct Group	S	0.1	LN	19513	5.57	0.00	1.26	GBp
LI;LN - Лондонская биржа.
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Торги ADR и GDR российских компаний"
,"Финансовый отчет Роснефти"
,"Финансовый отчет Роснефти"
,"Финансовый отчет Роснефти"
,"Финансовый отчет Роснефти"
,"Финансовый отчет Роснефти"
,"Финансовый отчет Роснефти"
,"Финансовый отчет Роснефти"
"Число суточных заражений COVID-19 в Молдавии впервые с начала года превысило тысячу случаев. Число суточных заражений COVID-19 в Молдавии впервые с начала года превысило тысячу случаев","COVID-19 в Молдавии"
"Власти Молдавии могут ужесточить ограничительные меры из-за роста случаев COVID-19. Власти Молдавии могут ужесточить ограничительные меры из-за роста случаев COVID-19","COVID-19 в Молдавии"
"В Молдавии почти тысяча новых случаев COVID-19 - самый большой показатель с начала года. В Молдавии почти тысяча новых случаев COVID-19 - самый большой показатель с начала года","COVID-19 в Молдавии"
"Занесенная снегом Москва побила суточный рекорд осадков 1973 года. Занесенная снегом Москва побила суточный рекорд осадков 1973 года","Снегопад в Москве"
"Четверть месячной нормы осадков выпало в Москве за неполные сутки. Четверть месячной нормы осадков выпало в Москве за неполные сутки","Снегопад в Москве"
"Выпущено штормовое предупреждение об аномальных морозах в ЦФО. Выпущено штормовое предупреждение об аномальных морозах в ЦФО","Снегопад в Москве"
"В Москве к середине дня выпало в среднем 10 см снега - мэрия. В Москве к середине дня выпало в среднем 10 см снега - мэрия","Снегопад в Москве"
"Власти Москвы делают все необходимое во избежание транспортного коллапса из-за снегопада - заммэра Бирюков. Власти Москвы делают все необходимое во избежание транспортного коллапса из-за снегопада - заммэра Бирюков","Снегопад в Москве"
"ОБОБЩЕНИЕ: Москва в снежном плену, сугробы перевалили за полметра. ОБОБЩЕНИЕ: Москва в снежном плену, сугробы перевалили за полметра","Снегопад в Москве"
"Столичным автомобилистам советуют отказаться от личного транспорта из-за сильного снегопада. Столичным автомобилистам советуют отказаться от личного транспорта из-за сильного снегопада","Снегопад в Москве"
"Высота снежного покрова в Москве местами превысила полметра. Высота снежного покрова в Москве местами превысила полметра","Снегопад в Москве"
"**Публичное акционерное общество Банк ""Финансовая Корпорация Открытие"". Сообщение о порядке доступа к инсайдерской информации, содержащейся в документе эмитента. **Публичное акционерное общество Банк ""Финансовая Корпорация Открытие"". Сообщение о порядке доступа к инсайдерской информации, содержащейся в документе эмитента","Существенные события банков"
"**Государственная корпорация развития ""ВЭБ.РФ"". Сведения, оказывающие, по мнению эмитента, существенное влияние на стоимость его эмиссионных ценных бумаг. **Государственная корпорация развития ""ВЭБ.РФ"". Сведения, оказывающие, по мнению эмитента, существенное влияние на стоимость его эмиссионных ценных бумаг","Существенные события банков"
"**Публичное акционерное общество ""Уральский банк реконструкции и развития"". Сообщение об изменении или корректировке информации, ранее опубликованной в Ленте новостей. **Публичное акционерное общество ""Уральский банк реконструкции и развития"". Сообщение об изменении или корректировке информации, ранее опубликованной в Ленте новостей","Существенные события банков"
"**Банк ВТБ (публичное акционерное общество). Погашение облигаций. **Банк ВТБ (публичное акционерное общество). Погашение облигаций","Существенные события банков"
"**Открытое акционерное общество ""Российские железные дороги"". Сообщение о порядке доступа к инсайдерской информации, содержащейся в документе эмитента. **Открытое акционерное общество ""Российские железные дороги"". Сообщение о порядке доступа к инсайдерской информации, содержащейся в документе эмитента","Существенные события банков"
"Красноярский край оценил ущерб в результате аварии на ТЭЦ Норникеля в 494 млн руб. Красноярский край оценил ущерб в результате аварии на ТЭЦ Норникеля в 494 млн руб"," Аварии на ТЭЦ Норникеля"
"Красноярский край оценил ущерб в результате аварии на ТЭЦ Норникеля в 494 млн руб.. Красноярский край оценил ущерб в результате аварии на ТЭЦ Норникеля в 494 млн руб."," Аварии на ТЭЦ Норникеля"
"Глава РСПП: попытка Красноярского края взыскать штраф лично с Потанина - опасный прецедент и желание ""пощипать"". Глава РСПП: попытка Красноярского края взыскать штраф лично с Потанина - опасный прецедент и желание ""пощипать"""," Аварии на ТЭЦ Норникеля"
"Красноярский край может недополучить 20 млрд руб. в связи с взысканием с ""Норникеля"" 146 млрд руб. - власти. Красноярский край может недополучить 20 млрд руб. в связи с взысканием с ""Норникеля"" 146 млрд руб. - власти"," Аварии на ТЭЦ Норникеля"
"Курс евро расчетами ""завтра"" на 19:00 мск 9 февраля вырос до 89,5918 руб./EUR1. Курс евро расчетами ""завтра"" на 19:00 мск 9 февраля вырос до 89,5918 руб./EUR1","Курсы валют"
"Курс доллара расчетами ""завтра"" на 19:00 МСК 9 февраля снизился до 74,054 руб./$1. Курс доллара расчетами ""завтра"" на 19:00 МСК 9 февраля снизился до 74,054 руб./$1","Курсы валют"
"Курс евро расчетами ""завтра"" на 19:00 МСК 9 февраля вырос до 89,5918 руб./EUR1. Курс евро расчетами ""завтра"" на 19:00 МСК 9 февраля вырос до 89,5918 руб./EUR1","Курсы валют"
"Курс доллара расчетами ""сегодня"" на ЕТС 9 февраля снизился до 74,04 руб./$1. Курс доллара расчетами ""сегодня"" на ЕТС 9 февраля снизился до 74,04 руб./$1","Курсы валют"
"Курс евро расчетами ""сегодня"" на ЕТС 9 февраля вырос до 89,5743 руб./EUR1. Курс евро расчетами ""сегодня"" на ЕТС 9 февраля вырос до 89,5743 руб./EUR1","Курсы валют"
"Курс доллара расчетами ""завтра"" на ЕТС к 11:30 МСК 9 февраля снизился до 74,1192 руб./$1. Курс доллара расчетами ""завтра"" на ЕТС к 11:30 МСК 9 февраля снизился до 74,1192 руб./$1","Курсы валют"
"Главным фактором для рубля в среднесрочной перспективе останутся санкционные риски - BCS GM. Главным фактором для рубля в среднесрочной перспективе останутся санкционные риски - BCS GM","Курс рубля"
"Рубль, вероятно, вернется к уровню 74,5 руб./$1 в ближайшие дни - Банк ""Санкт-Петербург"". Рубль, вероятно, вернется к уровню 74,5 руб./$1 в ближайшие дни - Банк ""Санкт-Петербург""","Курс рубля"
"Рубль в краткосрочной перспективе будет торговаться в диапазоне 74,5-76,0 руб./$1 - ""Универ Капитал"". Рубль в краткосрочной перспективе будет торговаться в диапазоне 74,5-76,0 руб./$1 - ""Универ Капитал""","Курс рубля"
"Торговый диапазон по паре USD/RUB в ближайшие дни составит 74,00-77,00 руб./1$ - Банк ""Русский Стандарт"". Торговый диапазон по паре USD/RUB в ближайшие дни составит 74,00-77,00 руб./1$ - Банк ""Русский Стандарт""","Курс рубля"
"Укрепление рубля ниже 73 руб./$1 пока маловероятно - ""Алор Брокер"". Укрепление рубля ниже 73 руб./$1 пока маловероятно - ""Алор Брокер""","Курс рубля"
"Кросс-курсы основных мировых валют на 17:01:02. 
17:01:02	05.02.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0095	1.1086	1.3705	1.2004
JPY	105.6800	***	117.1480	144.8220	126.8600
CHF	0.9021	0.8536	***	1.2363	1.0829
GBP	0.7297	0.6905	0.8089	***	0.8759
EUR	0.8331	0.7883	0.9234	1.1416	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы основных мировых валют"
"Кросс-курсы основных мировых валют на 15:01:01. 
15:01:01	05.02.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0095	1.1071	1.3688	1.1980
JPY	105.6100	***	116.9190	144.5680	126.5200
CHF	0.9033	0.8553	***	1.2365	1.0821
GBP	0.7305	0.6917	0.8087	***	0.8752
EUR	0.8347	0.7904	0.9241	1.1426	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы основных мировых валют"
"Кросс-курсы основных мировых валют на 13:01:01. 
13:01:01	05.02.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0095	1.1076	1.3692	1.1979
JPY	105.4700	***	116.8270	144.4240	126.3400
CHF	0.9028	0.8560	***	1.2362	1.0815
GBP	0.7303	0.6924	0.8089	***	0.8749
EUR	0.8348	0.7915	0.9247	1.1431	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы основных мировых валют"
"Кросс-курсы основных мировых валют на 10:01:16. 
10:01:16	05.02.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0095	1.1064	1.3683	1.1966
JPY	105.5100	***	116.7370	144.3500	126.2500
CHF	0.9038	0.8566	***	1.2366	1.0815
GBP	0.7309	0.6927	0.8087	***	0.8745
EUR	0.8357	0.7921	0.9247	1.1435	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы основных мировых валют"
"Кросс-курсы основных мировых валют и SDR на закрытие 04.02.2021. 
04.02.2021
Валюта	USD	JPY	CHF	GBP	EUR	SDR
USD	***	0.0095	1.1058	1.3672	1.1964	1.3771
JPY	105.5400	***	116.7240	144.3170	126.2500	-
CHF	0.9042	0.8567	***	1.2364	1.0818	-
GBP	0.7315	0.6929	0.8088	***	0.8750	-
EUR	0.8360	0.7920	0.9244	1.1429	***	-
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
SDR (Special Drawing Rights) - специальные права заимствования, курс
подсчитывается МВФ с учетом изменения курсов основных мировых валют
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы основных мировых валют"
"Байден обещает действовать быстро, чтобы спасти экономику США. Байден обещает действовать быстро, чтобы спасти экономику США","Заявления Байдена"
"Берлин приветствует слова Байдена о пересмотре вывода американских войск из ФРГ. Берлин приветствует слова Байдена о пересмотре вывода американских войск из ФРГ","Заявления Байдена"
"Бывший госсекретарь США Помпео ответил на критику Байденом внешней политики Трампа. Бывший госсекретарь США Помпео ответил на критику Байденом внешней политики Трампа","Заявления Байдена"
"Байден объявил о решении приостановить вывод 12 тыс. американских военных из Германии. Байден объявил о решении приостановить вывод 12 тыс. американских военных из Германии","Заявления Байдена"
"Байден заявил о готовности противостоять Китаю и попыткам России нанести урон демократии США. Байден заявил о готовности противостоять Китаю и попыткам России нанести урон демократии США","Заявления Байдена"
"Постановление правительства РФ о регистрации с 1 апреля экспортных контрактов на зерно подписано - Решетников. Постановление правительства РФ о регистрации с 1 апреля экспортных контрактов на зерно подписано - Решетников","Экспортные контракты на зерно"
"Мосбиржа вместе с Минсельхозом и проучастниками работает над методикой индикаторов для определения экспортной пошлины. Мосбиржа вместе с Минсельхозом и проучастниками работает над методикой индикаторов для определения экспортной пошлины","Экспортные контракты на зерно"
"Мосбиржа с 1 марта начнет регистрацию экспортных контрактов на зерно, с 1 апреля - расчет индикатора для формульной пошлины - Решетников. Мосбиржа с 1 марта начнет регистрацию экспортных контрактов на зерно, с 1 апреля - расчет индикатора для формульной пошлины - Решетников","Экспортные контракты на зерно"
"Постановление правительства РФ о регистрации экспортных контрактов на зерно с 1 апреля подписано - Решетников. Постановление правительства РФ о регистрации экспортных контрактов на зерно с 1 апреля подписано - Решетников","Экспортные контракты на зерно"
"Более 670 участников несогласованной акции 31 января привлечены к ответственности в Петербурге. Более 670 участников несогласованной акции 31 января привлечены к ответственности в Петербурге","Участники несогласованной акции в Петербурге"
"Суд Петербурга назначил 50 часов обязательных работ участнику несогласованного митинга 31 января. Суд Петербурга назначил 50 часов обязательных работ участнику несогласованного митинга 31 января","Участники несогласованной акции в Петербурге"
"Еще один участник несогласованного митинга в Петербурге арестован за насилие к полиции. Еще один участник несогласованного митинга в Петербурге арестован за насилие к полиции","Участники несогласованной акции в Петербурге"
"Пик годовой инфляции в РФ пока не пройден, ее замедление начнется во II квартале - Минэкономразвития. Пик годовой инфляции в РФ пока не пройден, ее замедление начнется во II квартале - Минэкономразвития","Инфляция в РФ"
"Годовая инфляция в РФ начнет снижаться с марта после прохождения локального максимума - аналитики ЦБ. Годовая инфляция в РФ начнет снижаться с марта после прохождения локального максимума - аналитики ЦБ","Инфляция в РФ"
"ВТБ возвращает сотрудников в офисы, увеличит до 30-35% долю персонала, работающего в головном подразделении в Москве. ВТБ возвращает сотрудников в офисы, увеличит до 30-35% долю персонала, работающего в головном подразделении в Москве","Удаленная работа"
"Оставить своих сотрудников на ""удаленке"" собирается почти каждый третий работодатель Москвы - опрос. Оставить своих сотрудников на ""удаленке"" собирается почти каждый третий работодатель Москвы - опрос","Удаленная работа"
"Сбербанк пока следит за ситуацией и не возвращает всех московских сотрудников в офисы. Сбербанк пока следит за ситуацией и не возвращает всех московских сотрудников в офисы","Удаленная работа"
"ХКФ банк решил сделать гибридный режим работы сотрудников постоянным. ХКФ банк решил сделать гибридный режим работы сотрудников постоянным","Удаленная работа"
"Требование об удаленной работе 30% сотрудников в Москве перестало быть обязательным - Собянин. Требование об удаленной работе 30% сотрудников в Москве перестало быть обязательным - Собянин","Удаленная работа"
"Люди старше 65 лет и с хроническими заболеваниями остаются на удаленной работе - указ мэра Москвы. Люди старше 65 лет и с хроническими заболеваниями остаются на удаленной работе - указ мэра Москвы","Удаленная работа"
"Палата представителей одобрила резолюцию с призывом к Пенсу отстранить Трампа от власти. Палата представителей одобрила резолюцию с призывом к Пенсу отстранить Трампа от власти","Отстранение Трампа"
"Палата представителей США одобрила резолюцию с призывом к Пенсу отстранить Трампа от власти. Палата представителей США одобрила резолюцию с призывом к Пенсу отстранить Трампа от власти","Отстранение Трампа"
"Трамп пообещал не ""оставлять в покое"" администрацию Байдена. Трамп пообещал не ""оставлять в покое"" администрацию Байдена","Отстранение Трампа"
"Байден тоже может столкнуться с попыткой отстранения от власти, предупреждает Трамп. Байден тоже может столкнуться с попыткой отстранения от власти, предупреждает Трамп","Отстранение Трампа"
"Пенс не будет ссылаться на 25-ю поправку, чтобы отстранить Трампа от должности. Пенс не будет ссылаться на 25-ю поправку, чтобы отстранить Трампа от должности","Отстранение Трампа"
"Советники лидеров Нормандской четверки обсудили выполнение соглашений в Париже от декабря 2019 г - Офис президента Украины. Советники лидеров Нормандской четверки обсудили выполнение соглашений в Париже от декабря 2019 г - Офис президента Украины","Дискуссия советников лидеров ""нормандской четверки"""
"Дискуссии советников лидеров ""нормандской четверки"" продолжаются пятый час, они сложные - источник. Дискуссии советников лидеров ""нормандской четверки"" продолжаются пятый час, они сложные - источник","Дискуссия советников лидеров ""нормандской четверки"""
"Суд в Ростове-на-Дону назначил от 13 до 18 лет колонии строгого режима троим участникам крымской ячейки ""Хизб ут-Тахрир"". Суд в Ростове-на-Дону назначил от 13 до 18 лет колонии строгого режима троим участникам крымской ячейки ""Хизб ут-Тахрир""","Приговор участникам ""Хизб ут-Тахрир"""
"Суд в Ростове-на-Дону назначил от 13 до 18 лет колонии участникам крымской ячейки ""Хизб ут-Тахрир"". Суд в Ростове-на-Дону назначил от 13 до 18 лет колонии участникам крымской ячейки ""Хизб ут-Тахрир""","Приговор участникам ""Хизб ут-Тахрир"""
"Приговор трем участникам крымской ячейки ""Хизб ут-Тахрир"" огласят в Ростове-на-Дону. Приговор трем участникам крымской ячейки ""Хизб ут-Тахрир"" огласят в Ростове-на-Дону","Приговор участникам ""Хизб ут-Тахрир"""
"Грузинская партия власти 16 января изберет нового лидера вместо бизнесмена Иванишвили. Грузинская партия власти 16 января изберет нового лидера вместо бизнесмена Иванишвили","Уход Иванишвили из политики"
"В грузинской оппозиции не поверили в уход Иванишвили из политики. В грузинской оппозиции не поверили в уход Иванишвили из политики","Уход Иванишвили из политики"
"Новым лидером правящей грузинской партии может стать экс-спикер парламента Кобахидзе - СМИ. Новым лидером правящей грузинской партии может стать экс-спикер парламента Кобахидзе - СМИ","Уход Иванишвили из политики"
"Лидер грузинской партии власти Иванишвили решил уйти из политики. Лидер грузинской партии власти Иванишвили решил уйти из политики","Уход Иванишвили из политики"
"Лукашенко стал делегатом Всебелорусского народного собрания - СМИ. Лукашенко стал делегатом Всебелорусского народного собрания - СМИ","Лукашенко"
"Лукашенко называет Путина своим другом, а на Зеленского не держит зла. Лукашенко называет Путина своим другом, а на Зеленского не держит зла","Лукашенко"
"Лукашенко обещал подготовить проект новой Конституции Белоруссии к концу года. Лукашенко обещал подготовить проект новой Конституции Белоруссии к концу года","Лукашенко"
"Лукашенко не испытал сожаления от встречи с оппозиционерами в следственном изоляторе. Лукашенко не испытал сожаления от встречи с оппозиционерами в следственном изоляторе","Лукашенко"
"Владельцы соцсети сторонников Трампа Parler подали иск против Amazon за фактическую ликвидацию аккаунта. Владельцы соцсети сторонников Трампа Parler подали иск против Amazon за фактическую ликвидацию аккаунта","Трамп в соцсетях"
"В Париже выступают против пропаганды ненависти в соцсетях, но сомневаются в необходимости блокировки аккаунтов Трампа. В Париже выступают против пропаганды ненависти в соцсетях, но сомневаются в необходимости блокировки аккаунтов Трампа","Трамп в соцсетях"
"Меркель считает блокировку аккаунтов Трампа в соцсетях проблематичной, у него тоже есть право на свободу слова - кабмин ФРГ. Меркель считает блокировку аккаунтов Трампа в соцсетях проблематичной, у него тоже есть право на свободу слова - кабмин ФРГ","Трамп в соцсетях"
"По меньшей мере 25 дел о внутреннем терроризме возбуждено после беспорядков в Капитолии. По меньшей мере 25 дел о внутреннем терроризме возбуждено после беспорядков в Капитолии","Трамп в соцсетях"
"Один кандидат от демократов одержал победу на выборах в Сенат США в Джорджии, второй близок к победе - ТВ. Один кандидат от демократов одержал победу на выборах в Сенат США в Джорджии, второй близок к победе - ТВ","Выборы в сенат США"
"Один кандидат от демократов одержал победу на выборах в сенат США в Джорджии, второй близок к победе - ТВ. Один кандидат от демократов одержал победу на выборах в сенат США в Джорджии, второй близок к победе - ТВ","Выборы в сенат США"
"Демократ Уорнок объявил о своей победе во втором туре выборов в сенат в штате Джорджия. Демократ Уорнок объявил о своей победе во втором туре выборов в сенат в штате Джорджия","Выборы в сенат США"
"Республиканцы обогнали демократов на выборах в Сенат США в штате Джорджия. Республиканцы обогнали демократов на выборах в Сенат США в штате Джорджия","Выборы в сенат США"
"Республиканцы обогнали демократов на выборах в сенат США в штате Джорджия. Республиканцы обогнали демократов на выборах в сенат США в штате Джорджия","Выборы в сенат США"
"После подсчета 50% голосов на выборах в сенат США в штате Джорджия лидируют демократы. После подсчета 50% голосов на выборах в сенат США в штате Джорджия лидируют демократы","Выборы в сенат США"
"Демократы опережают республиканцев на выборах в сенат в штате Джорджия - ранние результаты. Демократы опережают республиканцев на выборах в сенат в штате Джорджия - ранние результаты","Выборы в сенат США"
"Кросс-курсы основных мировых валют на 17:01:01. 
17:01:01	06.01.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0097	1.1373	1.3562	1.2316
JPY	103.1900	***	117.3520	139.9810	127.0900
CHF	0.8794	0.8522	***	1.1929	1.0831
GBP	0.7372	0.7144	0.8383	***	0.9081
EUR	0.8119	0.7867	0.9233	1.1012	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы валют"
"Кросс-курсы основных мировых валют на 15:01:01. 
15:01:01	06.01.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0097	1.1412	1.3646	1.2337
JPY	102.8000	***	117.3180	140.2920	126.8200
CHF	0.8763	0.8524	***	1.1958	1.0811
GBP	0.7328	0.7128	0.8362	***	0.9040
EUR	0.8106	0.7885	0.9251	1.1062	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы валют"
"Кросс-курсы основных мировых валют на 13:01:02. 
13:01:02	06.01.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0097	1.1408	1.3649	1.2339
JPY	102.8600	***	117.3420	140.3730	126.9200
CHF	0.8766	0.8522	***	1.1963	1.0817
GBP	0.7327	0.7123	0.8360	***	0.9040
EUR	0.8104	0.7879	0.9245	1.1060	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы валют"
"Кросс-курсы основных мировых валют на 10:01:03. 
10:01:03	06.01.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0097	1.1395	1.3629	1.2314
JPY	102.7400	***	117.0480	140.0230	126.5100
CHF	0.8777	0.8543	***	1.1962	1.0807
GBP	0.7337	0.7142	0.8360	***	0.9035
EUR	0.8121	0.7906	0.9253	1.1068	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы валют"
"Кросс-курсы основных мировых валют и SDR на закрытие 05.01.2021. 
05.01.2021
Валюта	USD	JPY	CHF	GBP	EUR	SDR
USD	***	0.0097	1.1385	1.3627	1.2298	1.3771
JPY	102.7200	***	116.9490	139.9820	126.2900	-
CHF	0.8784	0.8551	***	1.1970	1.0801	-
GBP	0.7338	0.7144	0.8354	***	0.9025	-
EUR	0.8131	0.7916	0.9257	1.1081	***	-
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
SDR (Special Drawing Rights) - специальные права заимствования, курс
подсчитывается МВФ с учетом изменения курсов основных мировых валют
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы валют"
"Трамп раскритиковал Пенса за нежелание самостоятельно отказывать в сертификации результатов выборов. Трамп раскритиковал Пенса за нежелание самостоятельно отказывать в сертификации результатов выборов","Итоги выборов США"
"Пенс не намерен в одностороннем порядке препятствовать сертификации результатов выборов в США. Пенс не намерен в одностороннем порядке препятствовать сертификации результатов выборов в США","Итоги выборов США"
"Трамп призывает Пенса проявить храбрость и помочь отклонить в Конгрессе результаты президентских выборов. Трамп призывает Пенса проявить храбрость и помочь отклонить в Конгрессе результаты президентских выборов","Итоги выборов США"
"Трамп призывает Пенса проявить храбрость и помочь отклонить в конгрессе результаты президентских выборов. Трамп призывает Пенса проявить храбрость и помочь отклонить в конгрессе результаты президентских выборов","Итоги выборов США"
"Трамп заявил, что не слышал от Пенса слов о невозможности изменить итоги выборов. Трамп заявил, что не слышал от Пенса слов о невозможности изменить итоги выборов","Итоги выборов США"
"Пенс заявил Трампу, что не может поменять результаты выборов - СМИ. Пенс заявил Трампу, что не может поменять результаты выборов - СМИ","Итоги выборов США"
"Премьер Израиля обвиняет Иран в стремлении создать атомную бомбу. Премьер Израиля обвиняет Иран в стремлении создать атомную бомбу","Обогащение урана Ираном"
"Решение Тегерана по обогащению урана предсказуемо и обратимо - российский дипломат. Решение Тегерана по обогащению урана предсказуемо и обратимо - российский дипломат","Обогащение урана Ираном"
"Иран приступил к обогащению урана до уровня 20% - представитель правительства. Иран приступил к обогащению урана до уровня 20% - представитель правительства","Обогащение урана Ираном"
"В ЕС ожидают выводов МАГАТЭ по решению Ирана об обогащении урана до 20%. В ЕС ожидают выводов МАГАТЭ по решению Ирана об обогащении урана до 20%","Обогащение урана Ираном"
"В ЕС ожидают выводов МАГАТЭ по решению Ирана об обогащении урана до 20% - представитель Борреля. В ЕС ожидают выводов МАГАТЭ по решению Ирана об обогащении урана до 20% - представитель Борреля","Обогащение урана Ираном"
